City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Rosarito,MX,80.42,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
646,Bhatkal,IN,77.92,overcast clouds,13.9667,74.5667,Nilawar Palace
647,Hornepayne,CA,82.09,scattered clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
650,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Green leaf
651,Manavalakurichi,IN,79.03,overcast clouds,8.1333,77.3,Jebinrio home
657,Lekoni,GA,85.37,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
665,Inirida,CO,83.66,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
668,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
671,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
672,Biarritz,FR,87.21,clear sky,43.4801,-1.5556,Hôtel de l'ocean
674,Cortez,US,85.03,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
675,Garowe,SO,80.33,overcast clouds,8.4054,48.4845,Curubo Hotel
677,Port Elgin,CA,87.53,scattered clouds,46.0487,-64.0868,Pumpkinn B&B
679,Bud,US,79.88,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
681,Buala,SB,79.2,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
683,Jadu,LY,86.81,clear sky,31.953,12.0261,امياس للصرافة
687,La Ronge,CA,77.22,few clouds,55.1001,-105.2842,Northland Motor Hotel
690,Hengshui,CN,79.07,broken clouds,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
699,Nakamura,JP,78.82,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
703,Cantaura,VE,89.56,broken clouds,9.3057,-64.3584,Hotel Lorenzana
708,Bacolod,PH,76.41,overcast clouds,10.6667,122.95,Planta Hotel & Residences
709,Sola,VU,80.1,scattered clouds,-13.8833,167.55,Leumerus Bungalows
711,Kasongo,CD,82.89,broken clouds,-4.45,26.6667,Guest Hôtel
712,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
713,Tirat Karmel,IL,83.75,scattered clouds,32.7617,34.9719,Marom Hotel Haifa מלון מרום
716,Fare,PF,76.28,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
