City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Rundu,NA,-17.9333,19.7667,61.2,25,0,6.26,clear sky
301,Esperance,AU,-33.8667,121.9,51.64,87,99,3.11,overcast clouds
302,North Bend,US,43.4065,-124.2243,68.23,78,0,10.36,clear sky
303,Timberlake,US,37.3207,-79.2575,91.38,66,40,9.22,scattered clouds
304,Lompoc,US,34.6391,-120.4579,72.93,77,0,7.0,light intensity drizzle
305,Clemencia,CO,10.5665,-75.325,85.37,65,61,4.05,broken clouds
306,Lasa,IT,46.6166,10.7002,88.68,47,42,2.21,scattered clouds
307,Zemio,CF,5.0314,25.1361,71.22,94,99,3.11,moderate rain
308,Maceio,BR,-9.6658,-35.7353,83.64,65,75,12.66,broken clouds
309,Rudbar,AF,30.15,62.6,102.13,10,2,6.24,clear sky
310,Lorengau,PG,-2.0226,147.2712,80.46,75,100,4.74,overcast clouds
311,Kailua,US,21.4022,-157.7394,77.02,92,100,12.66,light rain
312,Cururupu,BR,-1.8283,-44.8683,86.31,55,53,8.68,broken clouds
313,Lebu,CL,-37.6167,-73.65,48.74,66,36,6.69,scattered clouds
314,Lima,PE,-12.0432,-77.0282,57.45,82,100,5.75,overcast clouds
315,Hualmay,PE,-11.0964,-77.6139,66.36,70,64,10.89,broken clouds
316,Bozoum,CF,6.3193,16.3799,71.22,91,99,3.4,light rain
317,Ulaangom,MN,49.9811,92.0667,58.69,74,100,3.56,overcast clouds
318,Rio Grande,BR,-32.035,-52.0986,62.71,65,4,3.42,clear sky
319,Gwembe,ZM,-16.4975,27.6069,58.66,54,93,4.18,overcast clouds
320,West Bay,KY,19.3667,-81.4167,91.47,70,20,13.8,few clouds
321,Codajas,BR,-3.8367,-62.0569,94.89,38,9,5.57,clear sky
322,Vanavara,RU,60.34,102.2797,61.66,76,100,5.03,overcast clouds
323,Aykhal,RU,66.0,111.5,44.65,94,100,6.78,overcast clouds
324,Eydhafushi,MV,5.1033,73.0708,81.27,76,100,14.67,overcast clouds
325,Abaza,RU,52.655,90.0928,52.68,79,65,5.17,broken clouds
326,Vadakku Valliyur,IN,8.3833,77.65,80.78,67,100,7.02,overcast clouds
327,Arroyo,ES,41.6096,-4.7969,100.44,19,20,12.66,few clouds
328,Huarmey,PE,-10.0681,-78.1522,68.05,69,54,11.03,broken clouds
329,Ishim,RU,56.1128,69.4902,62.55,72,61,7.72,broken clouds
330,Poum,NC,-20.2333,164.0167,73.44,87,96,11.14,moderate rain
331,Walvis Bay,NA,-22.9575,14.5053,76.15,33,0,11.5,clear sky
332,Cairns,AU,-16.9167,145.7667,64.06,92,8,4.61,clear sky
333,Emirdag,TR,39.0197,31.15,72.61,39,47,14.63,scattered clouds
334,Anloga,GH,5.7947,0.8973,77.68,72,33,14.9,scattered clouds
335,Codrington,AU,-38.2667,141.9667,48.15,67,100,7.72,overcast clouds
336,Tam Ky,VN,15.5667,108.4833,79.81,87,63,3.78,broken clouds
337,Kenai,US,60.5544,-151.2583,56.08,79,100,16.11,overcast clouds
338,Oyem,GA,1.5995,11.5793,71.11,83,100,3.78,light rain
339,Ibra,OM,22.6906,58.5334,82.22,71,97,3.22,overcast clouds
340,Kurilsk,RU,45.2333,147.8833,59.04,100,100,4.29,overcast clouds
341,Blagoyevo,RU,63.3667,47.9167,63.97,79,76,3.0,broken clouds
342,Vodnyy,RU,63.5046,53.4095,69.01,56,99,4.18,overcast clouds
343,Riyadh,SA,24.6877,46.7219,105.94,9,60,10.8,broken clouds
